id|first_name|last_name|nickname|dob|nationality|height|weight|role
431|Julio|Villalba||1998-09-17|Paraguay|174|65|striker
432|Alessio|Miceli||1999-08-31|Italy|179|74|
433|Federico|Melchiorri||1987-01-06|Italy|185|76|striker
434|Alidu|Seidu||2000-06-04|Ghana|173|68|
435|Ricardo|Visus||2001-04-24|Spain|192||defender
436|Pépé|Bonet||2003-02-13|France|||goalkeeper
437|William|Silva de Carvalho|William Carvalho|1992-04-07|Portugal|187|79|Defensive Midfielder
438|Julien|Serrano||1998-02-13|France|171|55|defender
439|Jamal|Musiala||2003-02-26|Germany|180|68|
440|Fredrik|Ulvestad||1992-06-17|Norway|183|79|defender
441|Kiko|Femenía|Kiko Femenía|1991-02-02|Spain|176|61|Wing Back
442|Martin|Valjent||1995-12-11|Slovakia|187|70|
443|Noé|Sommer||2001-06-17|France|||
444|Claudio|Yacob||1987-07-18|Argentina|181|77|Defensive Midfielder
445|Giuseppe|Ciocci||2002-01-24|Italy|||goalkeeper
446|Joel|Campbell||1992-06-26|Costa Rica|178|71|midfielder
447|Mathis|Bruns||2004-03-31|Germany|192|80|defender
448|Max|Aarons||2000-01-04|England|178|69|defender
449|Scott|Carson||1985-09-03|England|190|76|goalkeeper
450|Allan|Marques Loureiro|Allan|1991-01-08|Brazil|173|73|midfielder
451|Kenny|Nagera||2002-02-21|France|||striker
452|Omar|Mascarell||1993-02-02|Spain|181|76|Defensive Midfielder
453|Dennis|Johnsen||1998-02-17|Norway|185|73|midfielder
454|Leighton|Clarkson||2001-10-19|England|175|62|midfielder
455|Edgar|Sevikyan||2001-08-08|Russia|175||
456|Mamadou|Sissako||1996-04-20|France|171|71|Punta
457|Djegui|Koita||1999-08-05|France|187|73|defender
458|Sergio|Gómez||2000-09-04|Spain|171|68|midfielder
459|Pablo|Ínsua||1993-09-09|Spain|187|80|defender
460|Nohan|Kenneh||2003-01-10|England|||Defensive Midfielder
461|Rubén|Pardo||1992-10-22|Spain|181|69|midfielder
462|Jerome|Prior||1995-08-08|France|187|86|goalkeeper
463|Clinton|N&#39;Jie||1993-08-15|Cameroon|175|68|striker
464|Oussama|Tannane||1994-03-23|Morocco|177|80|
465|David|López|David López|1989-10-09|Spain|183|81|defender
466|Sergio|Floccari||1981-11-12|Italy|180|79|striker
467|Michael|Esser||1987-11-22|Germany|198|97|goalkeeper
468|Andrea|Belotti||1993-12-20|Italy|181|72|striker
469|Yves|Bissouma||1996-08-30|Mali|182|80|
470|Javier|Guerra Rodríguez|Javi Guerra|1982-03-15|Spain|178|76|striker
471|Brian|Fernández||1994-09-26|Argentina|171|70|striker
472|Federico|Santander||1991-06-04|Paraguay|187|79|striker
473|Tim|Kleindienst||1995-08-31|Germany|194|85|striker
474|Chris|Richards||2000-03-28|USA|188|87|defender
475|Loïc|Mbe Soh||2001-06-13|France|186||defender
476|Jesús|Vázquez||2003-01-02|Spain|||
477|Jonathan|Martins Pereira||1986-01-30|France|182|78|Difensore Centrale
478|Fallou|Diagne||1989-08-14|Senegal|185|75|
479|Gian-Luca|Itter||1999-01-05|Germany|183|74|defender
480|Mehdi|Chahiri||1996-07-25|France|180|77|midfielder
481|Danilo|Larangeira|Danilo|1984-05-10|Brazil|184|80|defender
482|Daniele|Bonera||1981-05-31|Italy|183|84|defender
483|Pasquale|Giannotti||1999-06-05|Italy|170|60|midfielder
484|Judilson Mamadu|Tuncará Gomes|Pelé|1991-09-29|Guinea-Bissau|182|75|Defensive Midfielder
485|Filippo|Pavoni||1999-08-08|Italy|187|73|goalkeeper
486|Jan|Vertonghen||1987-04-24|Belgium|189|79|defender
487|Fransérgio|Rodrigues Barbosa|Fransérgio|1990-10-18|Brazil|185|77|midfielder
488|Gaëtan|Poussin||1999-01-13|France|184|82|goalkeeper
489|Christopher|Scott||2002-06-07|Germany|174|71|
490|Filippo|Falco||1992-02-11|Italy|171|70|midfielder
491|Quentin|Boisgard||1997-03-17|France|174|75|midfielder
492|Henrikh|Mkhitaryan||1989-01-21|Armenia|177|75|midfielder
493|Federico|Valverde||1998-07-22|Uruguay|182|78|midfielder
494|David|Remeseiro Salgueiro|Jason|1994-07-06|Spain|178|65|midfielder
495|Andrés|Iniesta Luján|Andrés Iniesta|1984-05-11|Spain|171|68|midfielder
496|Ludovic|Butelle||1983-04-03|France|188|84|goalkeeper
497|Mohamed|Elyounoussi||1994-08-04|Norway|178|70|midfielder
498|Lukasz|Fabianski||1985-04-18|Poland|190|83|goalkeeper
499|Aurélien|Nguiamba||1999-01-18|France|179|73|Defensive Midfielder
500|Youssouf|Koné||1995-07-05|Mali|174|71|Wing Back
501|Ignacio|Pussetto||1995-12-21|Argentina|180|74|striker
502|Stefano|Russo||2000-06-29|Germany|183|81|Defensive Midfielder
503|Nikola|Milenkovic||1997-10-12|Serbia|195|90|defender
504|Ludwig|Augustinsson||1994-04-21|Sweden|181|76|defender
505|Wesley|Hoedt||1994-03-06|Netherlands|188|77|defender
506|Jon|Stankovic||1996-01-14|Slovenia|190|78|
507|Aldo|Caiazza||1999-03-20|Italy|||
508|Joel|Robles||1990-06-17|Spain|195|78|goalkeeper
509|Kevin|Bonifazi||1996-05-19|Italy|187|70|defender
510|Alessandro|Russo||2001-03-31|Italy|196||goalkeeper
511|Yassine|Bounou||1991-04-05|Morocco|192|78|goalkeeper
512|Dani|Olmo|Dani Olmo|1998-05-07|Spain|179|72|midfielder
513|Nikola|Maksimovic|Nikola Maksimovic|1991-11-25|Serbia|193|82|defender
514|Jonathan|Delaplace||1986-03-20|France|168|67|midfielder
515|Florian|Schock||2001-05-22|Germany|199|95|goalkeeper
516|Goran|Pandev||1983-07-27|North Macedonia|184|75|striker
517|Jonas|Carls||1997-03-25|Germany|179|70|defender
518|Gianluigi|Buffon||1978-01-28|Italy|192|84|
519|Sören|Ahlers||1997-09-09|Germany|194|84|goalkeeper
520|Luigi|Palomba||2003-04-17|Italy|186||defender
521|Alejandro|Robles||1999-01-28|Spain|170|68|Difensore
522|Bogdan|Racovitan||2000-06-06|Romania|||
523|Krépin|Diatta||1999-02-25|Senegal|173|68|midfielder
524|Jacob|Murphy||1995-02-24|England|179|74|midfielder
525|Jordan|Siebatcheu||1996-04-26|USA|190|84|
526|Marvin|Friedrich||1995-12-13|Germany|193|81|defender
527|Chang-Hoon|Kwon|Kwon Chang-Hoon|1994-06-30|Korea Republic|174|71|midfielder
528|Dennis|Curatolo||2004-04-03|Italy|||
529|Kalifa|Coulibaly|Kalifa Coulibaly|1991-08-21|Mali|197|84|striker
530|Eljadji Pape Djibril|Diaw||1994-12-31|Senegal|193|85|defender
531|Riccardo|Montolivo||1985-01-18|Italy|182|79|midfielder
532|Marshall|Munetsi||1996-06-22|Zimbabwe|187|83|Defensive Midfielder
533|Luis|Hernández|Luis Hernandez|1989-04-14|Spain|183|75|defender
534|Phil|Bardsley||1985-06-28|Scotland|180|74|defender
535|Aritz|Arambarri||1998-01-31|Spain|186|76|defender
536|Kenny|Tete||1995-10-09|Netherlands|180|71|defender
537|Tashan|Oakley-Boothe||2000-02-14|England|182|73|midfielder
538|Francisco|Feuillasier Abalo|Franchu|1998-05-12|Argentina|172||striker
539|Wergiton|do Rosário Calmon|Somália|1988-09-28|Brazil|180|73|
540|Sofiane|Boufal||1993-09-17|Morocco|170|60|midfielder
541|Sergio|Pellissier||1979-04-12|Italy|175|75|striker
542|Khéphren|Thuram-Ulien|Khéphren Thuram|2001-03-26|France|192|80|
543|Miguel|Torres|Miguel Torres|1986-01-28|Spain|185|81|defender
544|Matìas|Soulé||2003-04-15|Argentina|||midfielder
545|Dan|Ndoye||2000-10-25|Switzerland|183|78|midfielder
546|Joe|Hart||1987-04-19|England|196|91|goalkeeper
547|Yoann|Andreu||1989-05-03|France|178|70|defender
548|Javier|Castro||2000-09-13|Spain|183|75|defender
549|Valere|Pollet||1997-06-27|France|177|71|Centrocampista Centrale
550|Nikolaos|Michelis||2001-03-23|Greece|192||defender
551|Robin|Knoche||1992-05-22|Germany|190|77|defender
552|Jack|Lahne||2001-10-24|Sweden|174||
553|Gabriel|Vidovic||2003-12-01|Croatia|||
554|Adam|Oudjani||2001-08-29|France|185|75|midfielder
555|Danilo|Cataldi||1994-08-06|Italy|180|70|midfielder
556|Ethan|Pinnock||1993-05-29|Jamaica|187|79|defender
557|Emiliano|Sala||1990-10-31|Argentina|187|75|striker
558|Pablo|Martínez||1998-02-22|Spain|182|74|Defensive Midfielder
559|Niccolò|Pietra||2003-09-28|Italy|189|85|midfielder
560|Dalbert Henrique|Chagas Estevao|Dalbert|1993-09-08|Brazil|181|70|defender
561|Abdul Majeed|Waris|Majeed Waris|1991-09-19|Ghana|172|73|striker
562|Kwang-Song|Han|Han Kwang-Song|1998-09-11|DPR Korea|176|70|striker
563|Ignacio|Monreal Eraso|Nacho Monreal|1986-02-26|Spain|179|72|defender
564|Lamine|Tall||2001-12-05|Senegal|||
565|Jon|Serantes||1989-10-24|Spain|184|72|goalkeeper
566|Andreas|Christensen||1996-04-10|Denmark|187|82|defender
567|Valon|Berisha||1993-02-07|Kosovo|176|70|midfielder
568|Renato|Tapia||1995-07-28|Peru|185|78|Defensive Midfielder
569|Pablo|Barrios Rivas||2003-06-15|Spain|||midfielder
570|Alessandro|Fiordaliso||1999-03-20|Italy|184|73|defender
571|Álvaro|García||2000-06-01|Spain|184||defender
572|Georgios|Antzoulas||2000-02-04|Greece|183|74|defender
573|Ismael|Dramé||2001-05-27|France|||defender
574|Fabien|Centonze||1996-01-16|France|182|75|defender
575|Alejandro|Gutiérrez Mozo|Álex Mozo|1995-04-22|Spain|165|66|Trequartista
576|Sebastian|Vasiliadis||1997-10-04|Greece|177|73|midfielder
577|Adam|Lallana||1988-05-10|England|172|73|midfielder
578|Sergi|Darder||1993-12-22|Spain|180|71|midfielder
579|Francisco Jorge|Tomás Oliveira|Chiquinho|2000-02-05|Portugal|179|73|midfielder
580|Karim|Achahbar||1996-01-03|Morocco|182|70|Punta
581|Alexandru|Maxim||1990-07-08|Romania|179|73|midfielder
582|Mickaël|Le Bihan||1990-05-16|France|184|80|striker
583|Riccardo|Stivanello||2004-04-24|Italy|||defender
584|Conor|Coventry||2000-03-25|Republic of Ireland|177||
585|Will|Hughes||1995-04-17|England|185|74|midfielder
586|Mikel|Rico||1984-11-04|Spain|179|75|midfielder
587|Eneko|Ortiz||2003-05-26|Spain|||
588|Juan|Soriano||1997-08-23|Spain|185|78|goalkeeper
589|Daniele|Verde||1996-06-20|Italy|168|64|midfielder
590|Edgar|Méndez||1990-01-02|Spain|187|80|midfielder
591|Marco|Silvestri||1991-03-02|Italy|191|80|goalkeeper
592|Dimitry|Bertaud||1998-06-06|France|180|85|goalkeeper
593|Hubert Dawid|Idasiak||2002-02-03|Poland|||goalkeeper
594|Percy|Tau||1994-05-13|South Africa|175||
595|Alexis|Blin||1996-09-16|France|184|78|Defensive Midfielder
596|George|Bello||2002-01-22|USA|173|75|defender
597|Shinji|Okazaki||1986-04-16|Japan|174|70|striker
598|Christalino|Atemona||2002-04-26|Germany|||defender
599|Kevin|Malcuit||1991-07-31|France|178|77|Wing Back
600|Colin|Dagba||1998-09-09|France|170|62|
601|Abdoul Kader|Bamba||1994-04-25|France|177|74|midfielder
602|Davide|De Marino||2000-03-17|Italy|186|78|
603|Maxwell|Haygarth||2002-01-21|England|||midfielder
604|Alex|Kirk||2002-10-27|England|||defender
605|Sidnei Wilson Vieira David|Tavares|Sidnei Tavares|2001-09-29|Portugal|||midfielder
606|Augusto|Fernández|Augusto Fernández|1986-04-10|Argentina|177|73|midfielder
607|Kevin|Vázquez||1993-03-23|Spain|173|72|defender
608|Alfredo|Pedraza||2000-12-20|Spain|181||Defensive Midfielder
609|Álvaro|Fernández||1998-04-13|Spain|185|75|goalkeeper
610|Enrique|Gómez Hermoso|Kike Hermoso|1999-08-10|Spain|190|76|defender
611|Jayson|Molumby||1999-08-06|Republic of Ireland|||midfielder
612|Riccardo|Tonin||2001-01-30|Italy|||striker
613|Álvaro|García Rivera|Álvaro García|1992-10-27|Spain|167|61|midfielder
614|Anthony|Driscoll-Glennon||1999-11-26|England|181||defender
615|Valentin|Rongier||1994-12-07|France|172|70|Defensive Midfielder
616|Aleksandar|Kolarov||1985-11-10|Serbia|187|81|defender
617|Johan|Djourou||1987-01-18|Switzerland|191|87|defender
618|Bobby|Wood||1992-11-15|USA|180|79|striker
619|Matthias|Lehmann||1983-05-28|Germany|179|75|Defensive Midfielder
620|Klaus|Gjasula||1989-12-14|Albania|191|84|Defensive Midfielder
621|Bali|Mumba||2001-10-01|England|||defender
622|Sheraldo|Becker||1995-02-09|Suriname|180|70|midfielder
623|Jae-Sung|Lee|Lee Jae-Sung|1992-08-10|Korea Republic|180|70|midfielder
624|Niklas|Stark||1995-04-14|Germany|190|88|defender
625|Gonzalo|Verdú||1988-10-21|Spain|185|80|defender
626|Dion|Ruffo Luci||2001-07-12|Italy|||midfielder
627|Georginio|Wijnaldum||1990-11-11|Netherlands|175|69|midfielder
628|Denis|Petric||1988-05-24|Slovenia|187|80|goalkeeper
629|Guilherme Antonio|Arana Lopes|Guilherme Arana|1997-04-14|Brazil|176|66|defender
630|Nehuén|Paz||1993-04-28|Argentina|191|89|defender
631|Martin|Hinteregger||1992-09-07|Austria|186|82|defender
632|Benik|Afobe||1993-02-12|Congo DR|183|78|striker
633|Thomas|Edwards||1999-01-22|England|175|76|defender
634|Josh|Murphy|Josh Murphy|1995-02-24|England|173|67|midfielder
635|Lohann|Doucet||2002-09-14|France|||Defensive Midfielder
636|Emmanuel|Dennis||1997-11-15|Nigeria|175|67|
637|Romain|Caumet||1999-04-13|France|||
638|Nicolas|Lemaitre||1997-01-12|France|185|83|goalkeeper
639|Tyreke|Johnson||1998-11-03|England|||midfielder
640|Mehmet Can|Aydin||2002-02-09|Germany|179|68|midfielder
641|Josip|Drmic||1992-08-08|Switzerland|183|81|
642|Luca|de la Torre||1998-05-23|USA|177|67|
643|Arial|Mendy|Arial Mendy|1994-11-07|Senegal|180|75|defender
644|Vasilios|Zagaritis||2001-05-04|Greece|178|68|
645|Luca|Wollschläger||2003-02-08|Germany|||striker
646|Joan|García||2001-05-04|Spain|180||
647|Ousseynou|Ndiaye||1998-11-24|Senegal|||midfielder
648|Dane|Scarlett||2004-03-24|England|180|76|striker
649|Manuel|Neuer||1986-03-27|Germany|193|93|
650|Billal|Brahimi||2000-03-14|Algeria|||
651|Mattia|Chiesa||2000-07-16|Italy|||goalkeeper
652|Cyrus|Christie||1992-09-30|Republic of Ireland|188|78|defender
653|José Luis|García del Pozo|Recio|1991-01-11|Spain|183|74|midfielder
654|Christoph|Daferner||1998-01-12|Germany|189|82|striker
655|Estanislau|Pedrola Fortuny|Estanis Pedrola|2003-08-24|Spain|||midfielder
656|Filip|Djordjevic||1987-09-28|Serbia|186|80|striker
657|Cyrille|Bayala||1996-05-24|Burkina Faso|181|68|
658|Jordi|Osei-Tutu||1998-10-02|England|176|70|defender
659|Riechedly|Bazoer||1996-10-12|Netherlands|184|74|defender
660|Sebastian|Rudy||1990-02-28|Germany|180|74|Defensive Midfielder
661|Reda|Khadra||2001-07-04|Germany|||midfielder
662|Anders|Lindegaard||1984-04-13|Denmark|193|80|goalkeeper
663|Gianluigi|Donnarumma||1999-02-25|Italy|196|90|goalkeeper
664|Amankwaa|Akurugu|Koffi|2001-11-20|Ghana|||defender
665|Facundo|Roncaglia||1987-02-10|Argentina|179|76|
666|Alessandro|Zanoli||2000-10-03|Italy|||
667|Víctor|Camarasa||1994-05-28|Spain|183|76|midfielder
668|Nicolas|Höfler||1990-03-09|Germany|181|79|Defensive Midfielder
669|Aymeric|Ahmed||2003-11-08|France|||
670|Gianluca|Gaudino||1996-11-11|Germany|175|65|midfielder
671|Oussama|Falouh||1999-07-12|Morocco|||defender
672|Oscar|Aranda||2002-04-29|Spain|181||midfielder
673|Simon|Rhein||1998-05-18|Germany|177|73|midfielder
674|Sven|Botman||2000-01-12|Netherlands|193|81|defender
675|Khaled|Adénon||1985-07-29|Benin|180|72|
676|Conor|Townsend||1993-03-04|England|168|62|defender
677|Borja|Valero||1985-01-12|Spain|175|73|midfielder
678|José Manuel|Bica Reis|José Bica|2003-06-16|Portugal|||
679|Edmilson|Indjai Correia||2000-06-06|Guinea-Bissau|||
680|Hatem|Ben Arfa||1987-03-07|France|178|65|midfielder
681|Óscar|Romero|Óscar Romero|1992-07-04|Paraguay|176|73|midfielder
682|Alessandro|Florenzi||1991-03-11|Italy|173|67|defender
683|Daniel|Morer Cabrera|Dani Morer|1998-02-05|Spain|166|61|defender
684|Romario|Rösch||1999-07-01|Germany|182|75|defender
685|Keshi|Anderson||1995-04-06|England|175|68|midfielder
686|Federico|Nicolás Cartabia|Fede Cartabia|1993-01-20|Argentina|169|65|Ala
687|Gaëtan|Paquiez||1994-02-15|France|182|72|defender
688|Joseph|Tetteh||1999-05-30|Ghana|175|70|Centrocampista Centrale
689|Ioritz|Landeta Batiz|Landeta|1995-10-10|Spain|193||goalkeeper
690|Michael|Ratajczak||1982-04-16|Germany|189|88|goalkeeper
691|Kevin-Prince|Boateng||1987-03-06|Ghana|186|77|striker
692|Andrés|Martín||1999-07-11|Spain|177|64|midfielder
693|Rafael|Pereira da Silva|Rafael|1990-07-09|Brazil|172|78|defender
694|Taichi|Hara||1999-05-05|Japan|191|84|striker
695|Giacomo|Satalino||1999-05-20|Italy|188|75|goalkeeper
696|Tanguy|Nianzou||2002-06-07|France|187|83|defender
697|Jaime|Seoane||1997-01-22|Spain|175|73|midfielder
698|Yoel|Ramírez||2002-02-05|Spain|184||goalkeeper
699|Mamadou|Kanouté||1993-10-07|Senegal|174|69|
700|Ezequiel|Muñoz||1990-10-08|Argentina|185|78|defender
701|Samir|Nasri||1987-06-26|France|175|75|
702|Vlad|Chiriches||1989-11-14|Romania|184|75|defender
703|Amadou|Haïdara|Amadou Haïdara|1998-01-31|Mali|175|72|Defensive Midfielder
704|Tony|Springett||2002-09-22|England|||
705|Giacomo|Manzari||2000-09-21|Italy|178|72|midfielder
706|Viktor|Gyökeres||1998-06-04|Sweden|187|86|striker
707|Lorenzo|Bruzzi||2000-01-31|Italy|||Portiere
708|Irvin|Cardona||1997-08-08|France|185|76|striker
709|Philip|Billing||1996-06-11|Denmark|193|83|midfielder
710|Paulo Otávio|Rosa Silva|Paulo Otávio|1994-11-23|Brazil|173|68|defender
711|Wuilker|Fariñez||1998-02-15|Venezuela|178|74|goalkeeper
712|Abdu|Cadri Conté|Abdu Conté|1998-03-24|Portugal|183|77|defender
713|Jordan|Lefort||1993-08-09|France|184|83|defender
714|Juan Manuel|Valencia|Juan Manuel Valencia|1998-06-20|Colombia|186|82|midfielder
715|Jacob|Sørensen||1998-03-03|Denmark|||midfielder
716|Morgan|Sanson||1994-08-18|France|180|73|midfielder
717|Fabrizio|Cacciatore||1986-10-08|Italy|182|81|defender
718|Szymon|Zurkowski||1997-09-25|Poland|185|77|midfielder
719|Woo-Yeong|Jeong|Jeong Woo-Yeong|1999-09-20|Korea Republic|179|69|midfielder
720|Jesper|Lindstrøm||2000-02-29|Denmark|182|66|midfielder
721|Kelvin|Yeboah||2000-05-06|Italy|182|73|striker
722|Merveille Valthy Streeker|Ndockyt||1998-07-20|Congo|182|63|midfielder
723|Etienne|Capoue||1988-07-11|France|189|80|
724|Christoph|Kramer||1991-02-19|Germany|191|76|Defensive Midfielder
725|Ismael|Ruiz|Isma Ruiz|2001-02-14|Spain|180|67|midfielder
726|Karim|Azamoum||1990-01-17|France|178|74|
727|Julian|Weigl||1995-09-08|Germany|186|72|Defensive Midfielder
728|Martin|Kelly||1990-04-27|England|191|77|defender
729|Timothy|Weah||2000-02-22|USA|185|66|striker
730|Ibrahima|Diallo||1999-03-08|France|179|68|midfielder
731|Leroy|Sané||1996-01-11|Germany|183|80|midfielder
732|Bruno|Gama||1987-11-15|Portugal|175|73|
733|Lluis|Andreu||1999-07-27|Spain|189|78|goalkeeper
734|Lassina|Sangare||2001-11-20|Côte d&#39;Ivoire|||
735|Luca|Sparandeo||1999-08-18|Italy|||defender
736|Giorgio|Cittadini||2002-04-18|Italy|||
737|Sabit|Abdulai||1999-05-11|Ghana|||midfielder
738|Hamari|Traoré|Hamari Traoré|1992-01-27|Mali|175|73|
739|Andrii|Yarmolenko||1989-10-23|Ukraine|189|81|midfielder
740|Jacques|Siwe||2001-07-29|France|||
741|Roli|Pereira De Sa||1996-12-10|France|177|71|midfielder
742|Tommaso|De Nipoti||2003-07-23|Italy|||striker
743|Gonzalo|Pereira||1997-02-14|Spain|180|75|defender
744|Frederik|Alves||1999-11-08|Denmark|195|78|
745|Sebastian|Soto||2000-07-28|USA|183|75|striker
746|Felipe|Caicedo||1988-09-05|Ecuador|183|84|striker
747|Jeff|Hendrick||1992-01-31|Republic of Ireland|185|79|midfielder
748|Iván|Marcano||1987-06-23|Spain|189|77|defender
749|Demarai|Gray||1996-06-28|England|180|74|midfielder
750|Matias|Rocchi||2002-10-23|Italy|177||midfielder
751|Jose Luis|Mato Sanmartín|Joselu|1990-03-27|Spain|192|80|striker
752|Juan Carlos|Lázaro Cervera|Kaiser|1996-04-04|Spain|187||defender
753|Andreas|Beck||1987-03-13|Germany|180|75|defender
754|Thibaut|Courtois||1992-05-11|Belgium|199|91|goalkeeper
755|Giovanni Gabriele|Garofani||2002-10-20|Italy|||
756|Jonathan|Varane||2001-09-09|France|||
757|Matt|Macey||1994-09-09|England|205|81|goalkeeper
758|Roberto|Santamaría||1985-02-27|Spain|183|75|goalkeeper
759|Varazdat|Haroyan||1992-08-24|Armenia|185|75|
760|Manuel|Lazzari||1993-11-29|Italy|174|67|midfielder
761|Alen|Halilovic||1996-06-18|Croatia|169|69|midfielder
762|Pau|Torres|Pau Torres|1997-01-16|Spain|191|80|defender
763|Amadou|Diawara||1997-07-17|Guinea|183|75|midfielder
764|Sergi|Canós||1997-02-02|Spain|177|75|midfielder
765|Naomichi|Ueda||1994-10-24|Japan|186|77|defender
766|Julien|Laporte||1993-11-04|France|185|82|defender
767|Andros|Townsend||1991-07-16|England|181|77|midfielder
768|Max|Meyer||1995-09-18|Germany|173|67|
769|Sam|Schreck||1999-01-29|Germany|180|63|midfielder
770|Mehmet|Zeki Çelik||1997-02-17|Turkey|180|78|defender
771|Baptiste|Gabard||2000-01-28|France|||
772|Daniel|Sotres|Dani Sotres|1993-05-21|Spain|182|78|goalkeeper
773|Lukasz|Skorupski||1991-05-05|Poland|187|84|goalkeeper
774|Luis Miguel|Quezada Sánchez|Luismi Quezada|1996-02-11|Dominican Republic|171|66|defender
775|Lukas|Jäger||1994-02-12|Austria|184|76|Defensive Midfielder
776|Jacopo|Da Riva||2000-10-27|Italy|187|81|midfielder
777|Fernando Francisco|Reges|Fernando|1987-07-25|Brazil|183|76|Defensive Midfielder
778|Jonathan|Kodjia||1989-10-22|Côte d&#39;Ivoire|191|77|striker
779|João Manuel|Neves Virgínia|João Virgínia|1999-10-10|Portugal|198|84|goalkeeper
780|Sven|Schipplock||1988-11-08|Germany|186|84|striker
781|Armando|Broja||2001-09-10|Albania|191||striker
782|Ramón|Folch||1989-10-04|Spain|182|78|midfielder
783|Gary|Madine||1990-08-24|England|193|80|striker
784|Jimmy|Briand||1985-08-02|France|181|84|striker
785|Oier|Sanjurjo||1986-05-25|Spain|178|72|defender
786|Hugo|Novoa Ramos|Hugo Novoa|2003-01-24|Spain|182|70|
787|Felipe Augusto|Rodrigues Pires|Felipe Pires|1995-04-18|Brazil|178|68|midfielder
788|Ibrahim|Amadou||1993-04-06|France|183|81|Defensive Midfielder
789|Ronny|Labonne||1997-09-14|France|||
790|Jakub|Jankto||1996-01-19|Czech Republic|184|74|midfielder
791|Béni|Makouana||2002-09-28|Congo|||
792|Djibril|Sow||1997-02-06|Switzerland|184|76|midfielder
793|Samuele|Ricci||2001-08-21|Italy|174||Defensive Midfielder
794|Marco|Fossati||1992-10-05|Italy|178|74|midfielder
795|Emmanuel|Imorou||1988-09-16|Benin|181|78|
796|Stoppila|Sunzu||1989-06-22|Zambia|190|91|
